Learning Rate,Batch Size,# Hidden Neurons,RMSE,R2
0.002,8,8,63502.75991676857,0.6884869391421717
0.002,8,16,62256.048509317356,0.700598368647065
0.002,8,24,61720.79920144801,0.705724476773254
0.002,8,32,61433.95066188701,0.7084534223096026
0.002,8,40,61682.43276243145,0.7060902139303629
0.002,8,48,61862.354153589855,0.7043731032728706
0.002,8,56,61919.81469510117,0.7038236650597856
0.002,8,64,61411.80552909887,0.7086635723633559
0.002,8,72,61703.64022837315,0.7058880768544274
0.002,8,80,61630.76961014657,0.7065823458525768
0.002,16,8,64864.45993936082,0.6749840519701018
0.002,16,16,64242.69740422096,0.681185111882342
0.002,16,24,64773.724392694174,0.6758927120708131
0.002,16,32,63705.191174350395,0.6864977188110166
0.002,16,40,64320.371249398304,0.680413707514319
0.002,16,48,62936.67304746172,0.6940160675933293
0.002,16,56,64183.4480165739,0.6817729102459393
0.002,16,64,63698.2090067942,0.6865664355187666
0.002,16,72,63635.99457191291,0.6871784015209708
0.002,16,80,62717.46067496208,0.6961438778669767
0.002,32,8,67417.09722923445,0.6488997351476171
0.002,32,16,66195.22226872528,0.6615111649555496
0.002,32,24,66434.4893189409,0.6590597615825635
0.002,32,32,66380.59596360686,0.6596126960811397
0.002,32,40,67457.45263389773,0.6484792769992109
0.002,32,48,67280.09158381159,0.6503253035264318
0.002,32,56,66738.91029751365,0.6559280401624721
0.002,32,64,66505.23703339564,0.6583332237174929
0.002,32,72,65674.08016871156,0.6668198984802006
0.002,32,80,66003.32752743781,0.6634708253844792
0.002,64,8,68813.64916599836,0.634202918159475
0.002,64,16,69082.07204799353,0.6313436072307218
0.002,64,24,68130.65674179466,0.6414281356452594
0.002,64,32,68159.94628795708,0.6411197674250786
0.002,64,40,69118.65172503894,0.6309530890629773
0.002,64,48,68245.47046786173,0.6402185873233033
0.002,64,56,67957.17915290201,0.6432518370973792
0.002,64,64,67686.17762390335,0.6460914643044204
0.002,64,72,67894.05133112331,0.6439143211667806
0.002,64,80,68471.03847261865,0.6378363253586483
0.002,128,8,76161.02690156894,0.5519188844222502
0.002,128,16,72197.37055560431,0.5973443289246577
0.002,128,24,74615.37272798165,0.5699215476869642
0.002,128,32,72426.15422061791,0.5947883632712951
0.002,128,40,71406.35519937273,0.6061192189257253
0.002,128,48,69342.55573549647,0.6285582240147276
0.002,128,56,69801.66641638776,0.6236233776957603
0.002,128,64,70352.40195041303,0.617660720165136
0.002,128,72,70067.20748651851,0.6207542898999385
0.002,128,80,69189.31358100705,0.630198130194426
0.004,8,8,61826.65604706992,0.7047141919902331
0.004,8,16,60675.477651084795,0.7156079404349752
0.004,8,24,60050.51036583235,0.7214363372365326
0.004,8,32,61222.42472024292,0.7104576396827921
0.004,8,40,59926.500259869434,0.7225856710238807
0.004,8,48,58383.83447199122,0.7366845827011033
0.004,8,56,59533.67655335743,0.7262107034940581
0.004,8,64,59786.67933719916,0.7238786908623553
0.004,8,72,58507.629004013135,0.7355667538434906
0.004,8,80,58478.88010016687,0.7358265592178694
0.004,16,8,62890.81745959819,0.6944617842448859
0.004,16,16,61512.20044193202,0.7077102506811346
0.004,16,24,62225.080564261225,0.7008961564909281
0.004,16,32,62567.454283239254,0.6975956538441362
0.004,16,40,62816.60218413394,0.6951824688985686
0.004,16,48,60638.80807870188,0.7159515845015554
0.004,16,56,61765.35866836777,0.7052994176682076
0.004,16,64,61521.13027119304,0.7076253801353394
0.004,16,72,61613.292705319756,0.7067487336929128
0.004,16,80,61209.55972654028,0.7105793130495772
0.004,32,8,65043.28473138022,0.6731895091306349
0.004,32,16,64394.86054423572,0.679673054380493
0.004,32,24,64082.33200899344,0.6827748042534123
0.004,32,32,64033.24733572096,0.6832605834451793
0.004,32,40,63697.126772679745,0.6865770859160009
0.004,32,48,63740.25250844229,0.6861525402536818
0.004,32,56,62788.97413678683,0.6954505401061944
0.004,32,64,64230.34672696165,0.6813076846088078
0.004,32,72,63504.41251870577,0.688470725239431
0.004,32,80,64435.30314391765,0.6792705712503777
0.004,64,8,67411.03768718288,0.6489628470671448
0.004,64,16,65652.99624033683,0.6670337916255737
0.004,64,24,66522.96109730926,0.6581510867612352
0.004,64,32,67333.43564755084,0.649770593699349
0.004,64,40,66089.9934879553,0.6625864829345066
0.004,64,48,67156.04024216949,0.6516135783873194
0.004,64,56,67228.54262534619,0.6508609288682894
0.004,64,64,66360.31343930835,0.6598206742988848
0.004,64,72,66204.39148728452,0.6614173849829359
0.004,64,80,66462.37808207088,0.65877345254548
0.004,128,8,71621.86967663259,0.6037380552071918
0.004,128,16,67846.55326543088,0.6444123755444326
0.004,128,24,68075.02868473378,0.6420134378851987
0.004,128,32,69647.94647352763,0.6252792947769066
0.004,128,40,68095.21192896931,0.641801130921607
0.004,128,48,67781.70656989711,0.6450917811071852
0.004,128,56,67918.75562300427,0.6436551395505585
0.004,128,64,69508.49598147155,0.626778338937937
0.004,128,72,68006.85932309226,0.6427300441686129
0.004,128,80,68289.10014743374,0.6397584200689208
0.006,8,8,62728.20388782477,0.6960397706358432
0.006,8,16,60644.518760712075,0.7158980812547331
0.006,8,24,58816.9372420767,0.7327634414115398
0.006,8,32,59941.114933176104,0.7224503447776316
0.006,8,40,60029.180583533176,0.7216341922425451
0.006,8,48,58962.70856457995,0.7314371669821049
0.006,8,56,57243.531701188906,0.7468698368766274
0.006,8,64,56985.43929475138,0.749147253834848
0.006,8,72,58668.91633940646,0.7341068239022452
0.006,8,80,57825.37144231961,0.7416979095551581
0.006,16,8,62794.904946169285,0.6953930042052316
0.006,16,16,60943.977639063625,0.7130853985669503
0.006,16,24,61391.83062175951,0.7088530626960245
0.006,16,32,60896.06062888779,0.7135363926015603
0.006,16,40,61336.05217362213,0.7093818739974145
0.006,16,48,60093.36674711356,0.7210385890588236
0.006,16,56,59722.14766512494,0.7244744407383381
0.006,16,64,60052.52190780462,0.7214176745513623
0.006,16,72,59938.15715214373,0.7224777353542781
0.006,16,80,59840.444434162004,0.7233818455999687
0.006,32,8,64471.85996288949,0.6789065418103162
0.006,32,16,63412.84791996371,0.6893684420220738
0.006,32,24,63346.29764779856,0.6900201007220403
0.006,32,32,63385.2637461517,0.689638628633898
0.006,32,40,62823.12080506637,0.6951192024063695
0.006,32,48,61458.18275373716,0.708223380884804
0.006,32,56,62632.661987798165,0.6969649946910094
0.006,32,64,67694.11994217703,0.6460084039443226
0.006,32,72,62590.4793381898,0.6973730410512871
0.006,32,80,62429.38807995448,0.6989287991352235
0.006,64,8,66080.90206701211,0.6626793065879659
0.006,64,16,65984.97824777538,0.6636579132123162
0.006,64,24,65570.51908254143,0.6678698496373343
0.006,64,32,64096.47860008845,0.6826347297483789
0.006,64,40,65210.06819260583,0.6715113507249522
0.006,64,48,65124.62737969636,0.6723715844646159
0.006,64,56,65122.782791889826,0.6723901436747348
0.006,64,64,64487.53699189142,0.6787503681410705
0.006,64,72,64458.499540241064,0.6790396076102989
0.006,64,80,64910.40445190081,0.6745234611366537
0.006,128,8,68630.27944622775,0.6361498208271736
0.006,128,16,69477.06477963278,0.6271157984931848
0.006,128,24,69440.05735956664,0.6275129311910613
0.006,128,32,68616.28959971502,0.636298142803946
0.006,128,40,67316.91049717471,0.6499424810639641
0.006,128,48,66805.53977968541,0.6552406816100145
0.006,128,56,67075.16101755583,0.6524522298610138
0.006,128,64,66575.50101653714,0.6576108881082947
0.006,128,72,67684.37364849146,0.6461103288292309
0.006,128,80,66404.05665222477,0.6593720495001612
0.008,8,8,61981.75362499589,0.7032308331661197
0.008,8,16,61249.947844095084,0.7101972481163172
0.008,8,24,57735.15693191599,0.7425032452969975
0.008,8,32,59556.06011255859,0.7260047853865161
0.008,8,40,59193.680702209254,0.7293289861356372
0.008,8,48,61195.601314711705,0.7107112987239748
0.008,8,56,58017.91224124825,0.7399749118949446
0.008,8,64,57655.483145695296,0.7432134394575196
0.008,8,72,57832.40193974907,0.7416350962075511
0.008,16,8,61797.45112672588,0.7049930931066966
0.008,16,16,60794.2153141022,0.7144937806229473
0.008,16,24,60326.42238385924,0.7188706426997155
0.008,16,32,60055.09825642835,0.7213937707896638
0.008,16,40,59422.89238193449,0.7272287255840977
0.008,16,48,58832.32779171016,0.7326235682449815
0.008,16,56,58779.010805037666,0.7331079701560967
0.008,16,64,58808.416673368505,0.7328408627338727
0.008,16,72,57321.780543368506,0.7461773331387412
0.008,16,80,57932.44614719866,0.7407404327212682
0.008,32,8,63342.62211671577,0.6900560714967582
0.008,32,16,63563.69235478251,0.6878888436647124
0.008,32,24,61823.68575379329,0.7047425637132956
0.008,32,32,60946.41352474894,0.7130624625800096
0.008,32,40,62058.37033289887,0.7024966968007692
0.008,32,48,61294.11991347492,0.7097790990835107
0.008,32,56,61542.24188122847,0.7074246829761699
0.008,32,64,61652.73908838737,0.7063731197873782
0.008,32,72,60838.45896104981,0.7140780689377527
0.008,32,80,61218.623677434494,0.7104935915009956
0.008,64,8,64454.060223423156,0.6790838157694334
0.008,64,16,64595.294357151935,0.6776758679290942
0.008,64,24,64417.404840323994,0.6794487256201455
0.008,64,32,63080.94390053338,0.6926116349311857
0.008,64,40,64161.166559312085,0.6819938186815218
0.008,64,48,63119.929249598215,0.6922315725845885
0.008,64,56,63227.71963429385,0.6911795180675162
0.008,64,64,63353.553552976104,0.6899490843042116
0.008,64,72,64347.430331092924,0.6801447560004685
0.008,64,80,64106.58842347642,0.682534606935462
0.008,128,8,66897.03919407763,0.6542956438586771
0.008,128,16,65974.79210394551,0.6637617478887494
0.008,128,24,67491.93663248386,0.6481197929700548
0.008,128,32,65358.569530191526,0.6700135284081656
0.008,128,40,66389.24632857986,0.6595239753873158
0.008,128,48,66625.50969127654,0.6570963187460803
0.008,128,56,66289.65355337877,0.6605447285985946
0.008,128,64,65810.98566011126,0.665429342890408
0.008,128,72,67017.23576945053,0.6530522462524886
